Precompute geometric measures at collocation points.
Done.
Start training.
Inner energy: 9.59e-03, Energy share (memb./bend./shear): 7.74e-03/1.29e-03/5.58e-04, Work: 1.92e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.73e-03/1.29e-03/5.54e-04, Work: 1.92e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.73e-03/1.30e-03/5.46e-04, Work: 1.92e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.44e-04, Work: 1.92e-02
Epoch: 8, rel. L2 error: 4.79e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.59e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.47e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.76e-03/1.31e-03/5.48e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.51e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.50e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.49e-04, Work: 1.92e-02
Inner energy: 9.59e-03, Energy share (memb./bend./shear): 7.74e-03/1.31e-03/5.47e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.31e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.32e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.32e-03/5.40e-04, Work: 1.92e-02
Inner energy: 9.62e-03, Energy share (memb./bend./shear): 7.75e-03/1.32e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.32e-03/5.41e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.32e-03/5.44e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.31e-03/5.45e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.31e-03/5.47e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.31e-03/5.47e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.31e-03/5.49e-04, Work: 1.92e-02
